config_id,cycles,diffusion_time,coarse_factor,trajectory_samples,mean_absolute_winding,mean_winding_error_from_fine,maximum_winding_error_from_fine,mean_direction_sphere_path_length,mean_direction_path_length_loss,maximum_direction_path_length_loss
n1_k1.5_b0.75_s1.25_rho0.25,1,0.25,4,33,0.2479390949010849,1.1833319213394589e-08,1.7881393432617188e-07,1.9872633218765259,0.014331979677081108,0.03365659713745117
n1_k1.5_b0.75_s1.25_rho0.25,1,0.25,8,17,0.2479390949010849,1.0660957450170372e-08,1.7881393432617188e-07,1.9437143802642822,0.057878050953149796,0.1360490322113037
n1_k1.5_b0.75_s1.25_rho1,1,1.0,1,129,0.08796948194503784,0.0,0.0,0.6378735303878784,0.0,0.0
n1_k1.5_b0.75_s1.25_rho1,1,1.0,2,65,0.08796948194503784,9.674224754618876e-10,2.9802322387695312e-08,0.6374960541725159,0.0004329004150349647,0.0016508400440216064
n1_k1.5_b0.75_s1.25_rho1,1,1.0,4,33,0.08796948939561844,1.5976323597399755e-09,2.9802322387695312e-08,0.6359196305274963,0.0019729603081941605,0.003773212432861328
n1_k1.5_b0.75_s1.25_rho1,1,1.0,8,17,0.08796948194503784,1.9358712410877388e-09,4.470348358154297e-08,0.6306704878807068,0.0072059971280395985,0.014528036117553711
n1_k1.5_b1.25_s0.75_rho0,1,0.0,1,129,0.21163615584373474,0.0,0.0,2.1354825496673584,0.0,0.0
n1_k1.5_b1.25_s0.75_rho0,1,0.0,2,65,0.21163615584373474,1.0057064514512604e-08,1.7881393432617188e-07,2.1314644813537598,0.004150981083512306,0.018489360809326172
n1_k1.5_b1.25_s0.75_rho0,1,0.0,4,33,0.21163615584373474,1.1226840790357073e-08,1.7881393432617188e-07,2.1151061058044434,0.020441804081201553,0.08972978591918945
n1_k1.5_b1.25_s0.75_rho0,1,0.0,8,17,0.21163615584373474,1.1937083321811315e-08,1.7881393432617188e-07,2.0522232055664062,0.08331504464149475,0.36971569061279297
n1_k1.5_b1.25_s0.75_rho0.25,1,0.25,1,129,0.13006415963172913,0.0,0.0,1.2260870933532715,0.0,0.0
n1_k1.5_b1.25_s0.75_rho0.25,1,0.25,2,65,0.13006415963172913,5.984568396399936e-09,1.1920928955078125e-07,1.2248146533966064,0.001402401365339756,0.004021406173706055
n1_k1.5_b1.25_s0.75_rho0.25,1,0.25,4,33,0.13006415963172913,6.2610547857389065e-09,1.043081283569336e-07,1.2194311618804932,0.0067331381142139435,0.01896524429321289
n1_k1.5_b1.25_s0.75_rho0.25,1,0.25,8,17,0.13006415963172913,5.891287013781721e-09,8.940696716308594e-08,1.1999461650848389,0.02618737705051899,0.07659244537353516
n1_k1.5_b1.25_s0.75_rho1,1,1.0,1,129,0.03764139860868454,0.0,0.0,0.4119461476802826,0.0,0.0
n1_k1.5_b1.25_s0.75_rho1,1,1.0,2,65,0.03764139860868454,7.010338420876394e-10,2.2351741790771484e-08,0.4117339253425598,0.0003045777848456055,0.0013370513916015625
n1_k1.5_b1.25_s0.75_rho1,1,1.0,4,33,0.03764139860868454,8.764031167451947e-10,1.4901161193847656e-08,0.4109475314617157,0.0010229838080704212,0.002003967761993408
n1_k1.5_b1.25_s0.75_rho1,1,1.0,8,17,0.03764139860868454,9.642976417367777e-10,1.4901161193847656e-08,0.4088861048221588,0.0030651402194052935,0.006164431571960449
n1_k1.5_b1.25_s1.25_rho0,1,0.0,1,129,0.26991498470306396,0.0,0.0,1.9911677837371826,0.0,0.0
n1_k1.5_b1.25_s1.25_rho0,1,0.0,2,65,0.26991498470306396,1.2258962733824319e-08,2.384185791015625e-07,1.9869767427444458,0.004219041671603918,0.012905359268188477
