fixture_id,channel,bandwidth,tau,grid_count,odd_count_scaling_exponent,odd_fraction_scaling_exponent,log_log_r_squared,minimum_grid_size,maximum_grid_size
cinquefoil_T_2_5,signed_turning,0.1,0.0,4,1.2476312350169885,-0.7523687649830115,0.9866240701326519,9,65
cinquefoil_T_2_5,signed_turning,0.1,0.0003,4,1.2496211227948204,-0.7503788772051796,0.9868615524260871,9,65
cinquefoil_T_2_5,signed_turning,0.1,0.001,4,1.2502554684033178,-0.7497445315966822,0.985125090055311,9,65
cinquefoil_T_2_5,signed_turning,0.1,0.003,4,1.246460490301172,-0.753539509698828,0.9842519673563702,9,65
cinquefoil_T_2_5,signed_turning,0.1,0.01,4,1.310412384244907,-0.6895876157550931,0.9886562199128486,9,65
cinquefoil_T_2_5,signed_turning,0.1,0.03,4,1.2265615767696572,-0.7734384232303428,0.994288900921889,9,65
cinquefoil_T_2_5,signed_turning,0.1,0.1,4,1.213054422372507,-0.786945577627493,0.9923017308231941,9,65
cinquefoil_T_2_5,signed_turning,0.1,0.3,4,1.122843857493264,-0.877156142506736,0.9982808266137395,9,65
cinquefoil_T_2_5,signed_turning,0.1,1.0,4,1.2605585246410735,-0.7394414753589265,0.984268059543973,9,65
cinquefoil_T_2_5,signed_turning,0.18,0.0,4,1.1842778125458502,-0.8157221874541498,0.9928829939663293,9,65
cinquefoil_T_2_5,signed_turning,0.18,0.0003,4,1.1832490613406468,-0.8167509386593532,0.993613826010367,9,65
cinquefoil_T_2_5,signed_turning,0.18,0.001,4,1.1864507967358502,-0.8135492032641498,0.9935234081575048,9,65
cinquefoil_T_2_5,signed_turning,0.18,0.003,4,1.1918386234446345,-0.8081613765553655,0.9951319375584917,9,65
cinquefoil_T_2_5,signed_turning,0.18,0.01,4,1.1603392511812185,-0.8396607488187815,0.9959246583007756,9,65
cinquefoil_T_2_5,signed_turning,0.18,0.03,4,1.1015874797618215,-0.8984125202381785,0.9989739633448268,9,65
cinquefoil_T_2_5,signed_turning,0.18,0.1,4,1.1509430017718176,-0.8490569982281824,0.9926816232960319,9,65
cinquefoil_T_2_5,signed_turning,0.18,0.3,4,1.1375397732033221,-0.8624602267966779,0.9949679744619151,9,65
cinquefoil_T_2_5,signed_turning,0.18,1.0,4,1.0614709844115204,-0.9385290155884796,0.9974449823938285,9,65
torus_T_3_4,curvature_density,0.1,0.0,4,1.26648969504525,-0.73351030495475,0.9932861627416159,9,65
torus_T_3_4,curvature_density,0.1,0.0003,4,1.2643743601685127,-0.7356256398314873,0.9924600418604242,9,65
torus_T_3_4,curvature_density,0.1,0.001,4,1.262187549671335,-0.7378124503286649,0.9931023078474238,9,65
torus_T_3_4,curvature_density,0.1,0.003,4,1.2619334111434755,-0.7380665888565245,0.9964421506041068,9,65
torus_T_3_4,curvature_density,0.1,0.01,4,1.2918137385073891,-0.7081862614926109,0.9772607477958835,9,65
torus_T_3_4,curvature_density,0.1,0.03,4,1.363466401721003,-0.636533598278997,0.9725416772921205,9,65
torus_T_3_4,curvature_density,0.1,0.1,4,1.3157041172759434,-0.6842958827240566,0.9832536982204337,9,65
torus_T_3_4,curvature_density,0.1,0.3,4,1.2313310119283754,-0.7686689880716246,0.9918767323316736,9,65
torus_T_3_4,curvature_density,0.1,1.0,4,1.2368438059485098,-0.7631561940514902,0.9920263853272947,9,65
torus_T_3_4,curvature_density,0.18,0.0,4,1.119682721436092,-0.880317278563908,0.9974499068483335,9,65
torus_T_3_4,curvature_density,0.18,0.0003,4,1.1280372924249211,-0.8719627075750789,0.9983389581873885,9,65
torus_T_3_4,curvature_density,0.18,0.001,4,1.0923653240890296,-0.9076346759109704,0.9994744074454347,9,65
torus_T_3_4,curvature_density,0.18,0.003,4,1.1278755944100471,-0.8721244055899529,0.9955216553794793,9,65
torus_T_3_4,curvature_density,0.18,0.01,4,1.154227059102302,-0.845772940897698,0.9967266061150349,9,65
torus_T_3_4,curvature_density,0.18,0.03,4,1.1438581667819345,-0.8561418332180655,0.9947361087509357,9,65
torus_T_3_4,curvature_density,0.18,0.1,4,1.200031622730983,-0.7999683772690169,0.9866942293802499,9,65
torus_T_3_4,curvature_density,0.18,0.3,4,1.356110614173444,-0.643889385826556,0.9842609290510812,9,65
torus_T_3_4,curvature_density,0.18,1.0,4,1.1123282086924215,-0.8876717913075785,0.9988913139257902,9,65
torus_T_3_4,signed_turning,0.1,0.0,4,1.2470252275212586,-0.7529747724787414,0.9953059209484512,9,65
torus_T_3_4,signed_turning,0.1,0.0003,4,1.2553415462939594,-0.7446584537060406,0.994179021618265,9,65
