atlas_index,vertex_count,edge_count,observable,spectrum_minimum,negative_coefficient_count,translation_kernel_psd
118,6,7,strict_maximum_indicator,0,0,True
119,6,7,2^nullity,0,0,True
119,6,7,3^nullity,24,0,True
119,6,7,strict_maximum_indicator,1,0,True
120,6,7,2^nullity,0,0,True
120,6,7,3^nullity,24,0,True
120,6,7,strict_maximum_indicator,1,0,True
121,6,7,2^nullity,0,0,True
121,6,7,3^nullity,48,0,True
121,6,7,strict_maximum_indicator,-1,48,False
122,6,7,2^nullity,0,0,True
122,6,7,3^nullity,48,0,True
122,6,7,strict_maximum_indicator,0,0,True
123,6,7,2^nullity,0,0,True
123,6,7,3^nullity,24,0,True
123,6,7,strict_maximum_indicator,1,0,True
124,6,7,2^nullity,0,0,True
124,6,7,3^nullity,48,0,True
124,6,7,strict_maximum_indicator,0,0,True
125,6,7,2^nullity,0,0,True
125,6,7,3^nullity,48,0,True
125,6,7,strict_maximum_indicator,-1,48,False
126,6,7,2^nullity,0,0,True
126,6,7,3^nullity,48,0,True
126,6,7,strict_maximum_indicator,0,0,True
127,6,7,2^nullity,0,0,True
127,6,7,3^nullity,30,0,True
127,6,7,strict_maximum_indicator,1,0,True
128,6,7,2^nullity,0,0,True
128,6,7,3^nullity,48,0,True
128,6,7,strict_maximum_indicator,0,0,True
129,6,7,2^nullity,0,0,True
129,6,7,3^nullity,54,0,True
129,6,7,strict_maximum_indicator,0,0,True
130,6,7,2^nullity,0,0,True
130,6,7,3^nullity,24,0,True
130,6,7,strict_maximum_indicator,1,0,True
133,6,8,2^nullity,0,0,True
133,6,8,3^nullity,24,0,True
133,6,8,strict_maximum_indicator,0,0,True
134,6,8,2^nullity,0,0,True
134,6,8,3^nullity,24,0,True
134,6,8,strict_maximum_indicator,0,0,True
135,6,8,2^nullity,0,0,True
135,6,8,3^nullity,12,0,True
135,6,8,strict_maximum_indicator,1,0,True
136,6,8,2^nullity,0,0,True
136,6,8,3^nullity,12,0,True
136,6,8,strict_maximum_indicator,1,0,True
137,6,8,2^nullity,0,0,True
137,6,8,3^nullity,12,0,True
137,6,8,strict_maximum_indicator,1,0,True
138,6,8,2^nullity,0,0,True
138,6,8,3^nullity,12,0,True
138,6,8,strict_maximum_indicator,1,0,True
139,6,8,2^nullity,0,0,True
139,6,8,3^nullity,12,0,True
139,6,8,strict_maximum_indicator,1,0,True
140,6,8,2^nullity,0,0,True
140,6,8,3^nullity,-24,4,False
140,6,8,strict_maximum_indicator,-2,32,False
141,6,8,2^nullity,0,0,True
141,6,8,3^nullity,-24,4,False
141,6,8,strict_maximum_indicator,-2,32,False
142,6,8,2^nullity,0,0,True
142,6,8,3^nullity,24,0,True
142,6,8,strict_maximum_indicator,0,0,True
143,6,8,2^nullity,0,0,True
143,6,8,3^nullity,-24,4,False
143,6,8,strict_maximum_indicator,-2,32,False
144,6,8,2^nullity,0,0,True
144,6,8,3^nullity,12,0,True
144,6,8,strict_maximum_indicator,1,0,True
145,6,8,2^nullity,0,0,True
145,6,8,3^nullity,24,0,True
145,6,8,strict_maximum_indicator,0,0,True
146,6,8,2^nullity,0,0,True
146,6,8,3^nullity,24,0,True
146,6,8,strict_maximum_indicator,-2,64,False
147,6,8,2^nullity,0,0,True
147,6,8,3^nullity,24,0,True
147,6,8,strict_maximum_indicator,0,0,True
148,6,8,2^nullity,0,0,True
148,6,8,3^nullity,24,0,True
148,6,8,strict_maximum_indicator,0,0,True
149,6,8,2^nullity,0,0,True
149,6,8,3^nullity,24,0,True
149,6,8,strict_maximum_indicator,-1,96,False
150,6,8,2^nullity,0,0,True
150,6,8,3^nullity,12,0,True
150,6,8,strict_maximum_indicator,1,0,True
151,6,8,2^nullity,0,0,True
151,6,8,3^nullity,24,0,True
151,6,8,strict_maximum_indicator,-1,64,False
152,6,8,2^nullity,0,0,True
152,6,8,3^nullity,24,0,True
152,6,8,strict_maximum_indicator,0,0,True
153,6,8,2^nullity,0,0,True
153,6,8,3^nullity,18,0,True
153,6,8,strict_maximum_indicator,0,0,True
154,6,8,2^nullity,0,0,True
154,6,8,3^nullity,-24,4,False
154,6,8,strict_maximum_indicator,-2,56,False
156,6,9,2^nullity,0,0,True
156,6,9,3^nullity,-120,4,False
156,6,9,strict_maximum_indicator,0,0,True
157,6,9,2^nullity,0,0,True
157,6,9,3^nullity,-120,4,False
157,6,9,strict_maximum_indicator,0,0,True
158,6,9,2^nullity,0,0,True
158,6,9,3^nullity,-48,8,False
158,6,9,strict_maximum_indicator,-2,64,False
159,6,9,2^nullity,0,0,True
159,6,9,3^nullity,-48,8,False
159,6,9,strict_maximum_indicator,-2,64,False
160,6,9,2^nullity,0,0,True
160,6,9,3^nullity,-120,4,False
160,6,9,strict_maximum_indicator,0,0,True
161,6,9,2^nullity,0,0,True
161,6,9,3^nullity,6,0,True
161,6,9,strict_maximum_indicator,1,0,True
162,6,9,2^nullity,0,0,True
162,6,9,3^nullity,6,0,True
162,6,9,strict_maximum_indicator,1,0,True
163,6,9,2^nullity,0,0,True
163,6,9,3^nullity,6,0,True
163,6,9,strict_maximum_indicator,1,0,True
164,6,9,2^nullity,0,0,True
164,6,9,3^nullity,6,0,True
164,6,9,strict_maximum_indicator,1,0,True
165,6,9,2^nullity,0,0,True
165,6,9,3^nullity,12,0,True
165,6,9,strict_maximum_indicator,0,0,True
166,6,9,2^nullity,0,0,True
166,6,9,3^nullity,-30,8,False
166,6,9,strict_maximum_indicator,-2,64,False
167,6,9,2^nullity,0,0,True
167,6,9,3^nullity,6,0,True
167,6,9,strict_maximum_indicator,1,0,True
168,6,9,2^nullity,0,0,True
168,6,9,3^nullity,-30,12,False
168,6,9,strict_maximum_indicator,-2,64,False
169,6,9,2^nullity,0,0,True
169,6,9,3^nullity,12,0,True
169,6,9,strict_maximum_indicator,0,0,True
170,6,9,2^nullity,0,0,True
170,6,9,3^nullity,-30,12,False
170,6,9,strict_maximum_indicator,-3,192,False
171,6,9,2^nullity,0,0,True
171,6,9,3^nullity,6,0,True
171,6,9,strict_maximum_indicator,-2,64,False
172,6,9,2^nullity,0,0,True
172,6,9,3^nullity,-30,7,False
