size,field_of_view,center_extent,channel,threshold,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_probability,yellow_crossing_probability,both_winners,neither_winners,u1_board_mismatch_count
7,1.0,2.0,h_x,-0.1,100000,0.5385108163265306,0.9799027499999998,0.53994,0.46006,0,0,0
7,1.0,2.0,h_x,0.0,100000,0.500475918367347,0.9800409999999999,0.50035,0.49965,0,0,0
7,1.0,2.0,h_x,0.1,100000,0.46281877551020406,0.9800827499999999,0.46133,0.53867,0,0,0
7,1.0,2.0,h_x,0.2,100000,0.42423285714285713,0.9799534999999996,0.42272,0.57728,0,0,0
7,1.0,2.0,h_x,0.4,100000,0.33994816326530614,0.9798674999999999,0.33644,0.66356,0,0,0
7,1.0,2.0,h_x,0.6,100000,0.24567408163265306,0.9809208333333336,0.24013,0.75987,0,0,0
7,1.0,2.0,h_y,-0.6,100000,0.7546689795918368,0.9809240833333333,0.76193,0.23807,0,0,0
7,1.0,2.0,h_y,-0.4,100000,0.6605116326530612,0.9798225000000002,0.6643,0.3357,0,0,0
7,1.0,2.0,h_y,-0.2,100000,0.5756138775510204,0.9798570000000001,0.57811,0.42189,0,0,0
7,1.0,2.0,h_y,-0.1,100000,0.5363540816326531,0.9799050833333335,0.53726,0.46274,0,0,0
7,1.0,2.0,h_y,0.0,100000,0.49824183673469385,0.9799057499999998,0.49762,0.50238,0,0,0
7,1.0,2.0,h_y,0.1,100000,0.4600769387755102,0.9799412500000001,0.45859,0.54141,0,0,0
7,1.0,2.0,h_y,0.2,100000,0.42137755102040814,0.979943,0.41958,0.58042,0,0,0
7,1.0,2.0,h_y,0.4,100000,0.33710102040816325,0.9799810000000001,0.33292,0.66708,0,0,0
7,1.0,2.0,h_y,0.6,100000,0.24358877551020408,0.9809860833333334,0.23746,0.76254,0,0,0
7,1.0,2.0,h_z,-0.6,100000,0.9143877551020408,0.9834178333333334,0.9281,0.0719,0,0,0
7,1.0,2.0,h_z,-0.4,100000,0.8430844897959183,0.9771969166666666,0.8577,0.1423,0,0,0
7,1.0,2.0,h_z,-0.2,100000,0.7433014285714286,0.97190975,0.75637,0.24363,0,0,0
7,1.0,2.0,h_z,-0.1,100000,0.6831975510204081,0.9707976666666669,0.69425,0.30575,0,0,0
7,1.0,2.0,h_z,0.0,100000,0.6180385714285714,0.9703240833333334,0.62595,0.37405,0,0,0
7,1.0,2.0,h_z,0.1,100000,0.5488744897959184,0.9705417499999998,0.55442,0.44558,0,0,0
7,1.0,2.0,h_z,0.2,100000,0.4766665306122449,0.9712223333333334,0.48104,0.51896,0,0,0
7,1.0,2.0,h_z,0.4,100000,0.3234661224489796,0.9719235833333332,0.32545,0.67455,0,0,0
7,1.0,2.0,h_z,0.6,100000,0.14032551020408163,0.9766269999999997,0.13504,0.86496,0,0,0
7,2.0,2.0,h_x,-0.6,100000,0.758284081632653,0.9621174999999998,0.77625,0.22375,0,0,0
7,2.0,2.0,h_x,-0.4,100000,0.6625824489795918,0.9599873333333335,0.67417,0.32583,0,0,0
