family,hurst,size,nominal_probability,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_count,yellow_crossing_count,both_winners,neither_winners,blue_crossing_probability,ci95_low,ci95_high,elapsed_seconds,samples_per_second
fractional_gaussian,0.8,6,0.525,200000,0.5234230555555556,0.7258576470588235,109425,90575,0,0,0.547125,0.5449434080276379,0.5493065919723621,0.24368039998807944,820747.1754387459
fractional_gaussian,0.8,6,0.55,200000,0.5467398611111111,0.7274586470588236,118978,81022,0,0,0.59489,0.5927384775123687,0.5970415224876313,0.2661251999961678,751525.9734999917
fractional_gaussian,0.8,6,0.6,200000,0.5928655555555555,0.7322891176470588,137257,62743,0,0,0.686285,0.6842514213711611,0.6883185786288389,0.27012980001745746,740384.8075520537
fractional_gaussian,0.8,6,0.65,200000,0.6402598611111111,0.7413320588235294,154634,45366,0,0,0.77317,0.7713346080728278,0.7750053919271722,0.32141250002314337,622253.3348441612
fractional_gaussian,0.8,6,0.7,200000,0.6883313888888889,0.754616588235294,169975,30025,0,0,0.849875,0.848309528697205,0.8514404713027951,0.29239919999963604,683996.3994438048
fractional_gaussian,0.8,6,0.75,200000,0.7374370833333334,0.772564294117647,182585,17415,0,0,0.912925,0.9116893218560017,0.9141606781439983,0.3453051999968011,579197.7647653519
iid,,7,0.25,200000,0.25002775510204084,0.6251105833333332,2511,197489,0,0,0.012555,0.012067015655070986,0.013042984344929015,0.34083890001056716,586787.4822791627
iid,,7,0.3,200000,0.29974622448979593,0.58008325,7860,192140,0,0,0.0393,0.03844840864490062,0.04015159135509938,0.37899639998795465,527709.4980489431
iid,,7,0.35,200000,0.3501631632653061,0.544889375,19220,180780,0,0,0.0961,0.09480829613056244,0.09739170386943757,0.3327469999785535,601057.2597585871
iid,,7,0.4,200000,0.4001319387755102,0.5199908333333333,39296,160704,0,0,0.19648,0.19473859978488664,0.19822140021511334,0.36363819998223335,549997.2225408981
iid,,7,0.45,200000,0.45001591836734695,0.5052697500000001,66489,133511,0,0,0.332445,0.33038035921175235,0.33450964078824763,0.33761709998361766,592387.0562530888
iid,,7,0.475,200000,0.47479163265306124,0.5011485416666667,82625,117375,0,0,0.413125,0.4109669842164908,0.41528301578350924,0.24941080002463423,801889.8940232182
iid,,7,0.5,200000,0.5002344897959183,0.4998974166666667,100266,99734,0,0,0.50133,0.49913866113461003,0.5035213388653901,0.28183250001166016,709641.3649658058
